Id,SalePrice
2658,113529.22191464528
2718,175769.7357693536
2414,224689.01403294312
1989,107540.09663963097
625,170103.00308687874
333,82325.67336022668
1327,92436.67881901482
858,142250.7828563105
95,176153.15272035528
1568,152519.2125063483
2482,167916.35528755977
1364,113731.63726804258
2584,151546.57969702804
818,274471.35862300254
2673,144720.9642437348
2089,130474.67022966509
1297,165401.80791153677
790,122664.62697390343
2616,180597.04166879153
720,204631.99974439642
222,151491.78860751106
557,128115.61883943868
1148,193362.16408990874
2766,164765.95610718307
534,178947.63899313315
1452,121937.85432776596
630,147410.7506758336
2648,135950.25215407036
125,170039.08349180483
1904,13967.45295906553
1670,100822.92406311953
756,97717.45195569159
717,222311.9481707033
1032,149341.55037610466
852,218067.39919518353
1731,177833.8320397401
2639,99104.3475536947
2071,49649.84773017312
1267,136999.19291714614
1851,182626.7114432328
567,165822.50923621486
2439,215592.63998465668
1898,153906.93784245427
647,173210.56992970043
2256,227479.48570775992
979,66444.81128694376
1444,225538.70174903772
2485,123273.605249716
157,115072.1490927885
88,117292.75541977058
2003,94527.17937147786
186,206612.71324359314
1425,246164.09600439464
2695,121893.75321845381
738,110886.67548872936
395,149695.83184871465
1353,165514.64637068126
1878,157775.73936177482
390,156570.9009706665
1456,232687.00237768714
1103,310436.68721037876
1387,127142.24260859654
2070,147391.41104822274
1199,162603.43989387638
2479,182089.28402816455
501,317441.8077609455
2362,55863.42630881519
1718,239867.2650238573
2188,60403.117664775054
1483,175452.47809323852
2557,90386.95631128945
437,346664.4716858765
2224,177007.13659209502
1628,188149.4542878663
397,129878.80500984876
587,197383.37240459412
2182,466288.00457163405
971,150205.20985216874
2611,137371.96261610338
1887,77501.7808644486
2399,358642.85053780745
2148,206597.70328792452
304,138417.75553241774
1997,137940.30082723976
2817,132825.14223857276
1431,220075.99161883153
427,341658.38714781415
263,124033.43932221102
598,189132.81024250766
2895,226123.23875176226
687,139265.09568438877
1822,132138.16272566415
2191,93680.77685217984
179,98240.57298656556
1009,276471.80366981047
2010,105769.31522529977
1991,148315.17910475447
1411,175298.06587632815
1721,262604.7154741374
1144,197955.11163460318
593,212735.95541248177
575,290227.4740050329
1249,174583.5010167169
1604,114926.92109564214
1064,409994.3404288311
1923,150123.67410542304
1988,73319.06750030417
2325,173027.81633146567
114,197896.70403060433
2700,167686.8580736727
217,104392.19987057897
343,187690.72537305971
386,220153.36069051304
2005,110164.97443146221
2908,91757.23904554901
1814,234905.05482806906
2446,423702.4109358998
208,164886.80430494246
1679,111269.67883357646
822,314228.2369193223
6,191790.03227594035
1781,343552.1651298077
2397,302520.35174276424
2340,343079.0917368759
1618,163549.7753977276
2843,148499.16309066932
1061,353728.70502170606
2786,120176.30389908727
1935,131911.14494790143
1341,124728.39955549191
521,258842.38744891513
2136,146122.64980505247
996,196643.82716686462
227,140822.93173503448
135,182160.33947223154
1167,154219.36729300674
294,208897.79618937132
1776,185454.15152777414
540,178221.51156805124
1717,239138.49302560388
2303,117276.75748607794
116,185887.27124437568
